Clase de población;Comunidades y Ciudades Autónomas;Ventajas/desventajas;Total
Personas que han teletrabajado;Total nacional;Total;3.282.973
Personas que han teletrabajado;Total nacional;Ventajas: Gestión propia del tiempo de trabajo;87,3
Personas que han teletrabajado;Total nacional;Ventajas: Aprovechamiento/ahorro de tiempo;86,6
Personas que han teletrabajado;Total nacional;Ventajas: Conciliación con vida familiar/personal;87,2
Personas que han teletrabajado;Total nacional;Ventajas: Ahorro de dinero;68,7
Personas que han teletrabajado;Total nacional;Ventajas: Evitar desplazamientos;95,4
Personas que han teletrabajado;Total nacional;Ventajas: Comodidad de trabajar en el hogar;77,7
Personas que han teletrabajado;Total nacional;Desventajas: Peor organización y coordinación del teletrabajo;29,5
Personas que han teletrabajado;Total nacional;Desventajas: Sobrecarga laboral;47
Personas que han teletrabajado;Total nacional;Desventajas: No desconexión laboral;60,8
Personas que han teletrabajado;Total nacional;Desventajas: Falta de contacto social con compa±eros;82,2
Personas que han teletrabajado;Total nacional;Desventajas: Falta de recursos técnicos;28,8
Personas que han teletrabajado;Total nacional;Desventajas: Incomodidad de trabajar desde el hogar;24
Personas que han teletrabajado;Andalucía;Total;397.228
Personas que han teletrabajado;Andalucía;Ventajas: Gestión propia del tiempo de trabajo;88
Personas que han teletrabajado;Andalucía;Ventajas: Aprovechamiento/ahorro de tiempo;89,7
Personas que han teletrabajado;Andalucía;Ventajas: Conciliación con vida familiar/personal;87
Personas que han teletrabajado;Andalucía;Ventajas: Ahorro de dinero;65,6
Personas que han teletrabajado;Andalucía;Ventajas: Evitar desplazamientos;95,4
Personas que han teletrabajado;Andalucía;Ventajas: Comodidad de trabajar en el hogar;81,2
Personas que han teletrabajado;Andalucía;Desventajas: Peor organización y coordinación del teletrabajo;22,8
Personas que han teletrabajado;Andalucía;Desventajas: Sobrecarga laboral;42,5
Personas que han teletrabajado;Andalucía;Desventajas: No desconexión laboral;57,7
Personas que han teletrabajado;Andalucía;Desventajas: Falta de contacto social con compa±eros;77,2
Personas que han teletrabajado;Andalucía;Desventajas: Falta de recursos técnicos;22
Personas que han teletrabajado;Andalucía;Desventajas: Incomodidad de trabajar desde el hogar;26,8
Personas que han teletrabajado;Aragón;Total;70.223
Personas que han teletrabajado;Aragón;Ventajas: Gestión propia del tiempo de trabajo;86,2
Personas que han teletrabajado;Aragón;Ventajas: Aprovechamiento/ahorro de tiempo;82,4
Personas que han teletrabajado;Aragón;Ventajas: Conciliación con vida familiar/personal;83,8
Personas que han teletrabajado;Aragón;Ventajas: Ahorro de dinero;54,2
Personas que han teletrabajado;Aragón;Ventajas: Evitar desplazamientos;88,8
Personas que han teletrabajado;Aragón;Ventajas: Comodidad de trabajar en el hogar;72,8
Personas que han teletrabajado;Aragón;Desventajas: Peor organización y coordinación del teletrabajo;27,2
Personas que han teletrabajado;Aragón;Desventajas: Sobrecarga laboral;39,7
Personas que han teletrabajado;Aragón;Desventajas: No desconexión laboral;63,7
Personas que han teletrabajado;Aragón;Desventajas: Falta de contacto social con compa±eros;78,5
Personas que han teletrabajado;Aragón;Desventajas: Falta de recursos técnicos;31,4
Personas que han teletrabajado;Aragón;Desventajas: Incomodidad de trabajar desde el hogar;20,6
Personas que han teletrabajado;Asturias, Principado de;Total;43.029
Personas que han teletrabajado;Asturias, Principado de;Ventajas: Gestión propia del tiempo de trabajo;90,2
Personas que han teletrabajado;Asturias, Principado de;Ventajas: Aprovechamiento/ahorro de tiempo;91,8
Personas que han teletrabajado;Asturias, Principado de;Ventajas: Conciliación con vida familiar/personal;81,4
Personas que han teletrabajado;Asturias, Principado de;Ventajas: Ahorro de dinero;83,1
Personas que han teletrabajado;Asturias, Principado de;Ventajas: Evitar desplazamientos;100
Personas que han teletrabajado;Asturias, Principado de;Ventajas: Comodidad de trabajar en el hogar;83,3
Personas que han teletrabajado;Asturias, Principado de;Desventajas: Peor organización y coordinación del teletrabajo;33,5
Personas que han teletrabajado;Asturias, Principado de;Desventajas: Sobrecarga laboral;51,3
Personas que han teletrabajado;Asturias, Principado de;Desventajas: No desconexión laboral;69,1
Personas que han teletrabajado;Asturias, Principado de;Desventajas: Falta de contacto social con compa±eros;70,4
Personas que han teletrabajado;Asturias, Principado de;Desventajas: Falta de recursos técnicos;25,2
Personas que han teletrabajado;Asturias, Principado de;Desventajas: Incomodidad de trabajar desde el hogar;24,5
Personas que han teletrabajado;Balears, Illes;Total;41.835
Personas que han teletrabajado;Balears, Illes;Ventajas: Gestión propia del tiempo de trabajo;80,4
Personas que han teletrabajado;Balears, Illes;Ventajas: Aprovechamiento/ahorro de tiempo;91,3
Personas que han teletrabajado;Balears, Illes;Ventajas: Conciliación con vida familiar/personal;86,7
Personas que han teletrabajado;Balears, Illes;Ventajas: Ahorro de dinero;69,8
Personas que han teletrabajado;Balears, Illes;Ventajas: Evitar desplazamientos;98,5
Personas que han teletrabajado;Balears, Illes;Ventajas: Comodidad de trabajar en el hogar;86,9
Personas que han teletrabajado;Balears, Illes;Desventajas: Peor organización y coordinación del teletrabajo;60,7
Personas que han teletrabajado;Balears, Illes;Desventajas: Sobrecarga laboral;58,9
Personas que han teletrabajado;Balears, Illes;Desventajas: No desconexión laboral;82
Personas que han teletrabajado;Balears, Illes;Desventajas: Falta de contacto social con compa±eros;89,8
Personas que han teletrabajado;Balears, Illes;Desventajas: Falta de recursos técnicos;49,5
Personas que han teletrabajado;Balears, Illes;Desventajas: Incomodidad de trabajar desde el hogar;30,5
Personas que han teletrabajado;Canarias;Total;123.293
Personas que han teletrabajado;Canarias;Ventajas: Gestión propia del tiempo de trabajo;92,8
Personas que han teletrabajado;Canarias;Ventajas: Aprovechamiento/ahorro de tiempo;92,3
Personas que han teletrabajado;Canarias;Ventajas: Conciliación con vida familiar/personal;92,1
Personas que han teletrabajado;Canarias;Ventajas: Ahorro de dinero;78,3
Personas que han teletrabajado;Canarias;Ventajas: Evitar desplazamientos;88,6
Personas que han teletrabajado;Canarias;Ventajas: Comodidad de trabajar en el hogar;74,8
Personas que han teletrabajado;Canarias;Desventajas: Peor organización y coordinación del teletrabajo;36
Personas que han teletrabajado;Canarias;Desventajas: Sobrecarga laboral;50,2
Personas que han teletrabajado;Canarias;Desventajas: No desconexión laboral;60,2
Personas que han teletrabajado;Canarias;Desventajas: Falta de contacto social con compa±eros;86,8
Personas que han teletrabajado;Canarias;Desventajas: Falta de recursos técnicos;43,7
Personas que han teletrabajado;Canarias;Desventajas: Incomodidad de trabajar desde el hogar;32,4
Personas que han teletrabajado;Cantabria;Total;15.203
Personas que han teletrabajado;Cantabria;Ventajas: Gestión propia del tiempo de trabajo;70,3
Personas que han teletrabajado;Cantabria;Ventajas: Aprovechamiento/ahorro de tiempo;70,7
Personas que han teletrabajado;Cantabria;Ventajas: Conciliación con vida familiar/personal;79,6
Personas que han teletrabajado;Cantabria;Ventajas: Ahorro de dinero;60,3
Personas que han teletrabajado;Cantabria;Ventajas: Evitar desplazamientos;89,8
Personas que han teletrabajado;Cantabria;Ventajas: Comodidad de trabajar en el hogar;73,2
Personas que han teletrabajado;Cantabria;Desventajas: Peor organización y coordinación del teletrabajo;15,3
Personas que han teletrabajado;Cantabria;Desventajas: Sobrecarga laboral;55,9
Personas que han teletrabajado;Cantabria;Desventajas: No desconexión laboral;58,9
Personas que han teletrabajado;Cantabria;Desventajas: Falta de contacto social con compa±eros;84,2
Personas que han teletrabajado;Cantabria;Desventajas: Falta de recursos técnicos;33,2
Personas que han teletrabajado;Cantabria;Desventajas: Incomodidad de trabajar desde el hogar;33,9
Personas que han teletrabajado;Castilla y León;Total;96.504
Personas que han teletrabajado;Castilla y León;Ventajas: Gestión propia del tiempo de trabajo;77,3
Personas que han teletrabajado;Castilla y León;Ventajas: Aprovechamiento/ahorro de tiempo;73,6
Personas que han teletrabajado;Castilla y León;Ventajas: Conciliación con vida familiar/personal;89,8
Personas que han teletrabajado;Castilla y León;Ventajas: Ahorro de dinero;50,4
Personas que han teletrabajado;Castilla y León;Ventajas: Evitar desplazamientos;83
Personas que han teletrabajado;Castilla y León;Ventajas: Comodidad de trabajar en el hogar;74,3
Personas que han teletrabajado;Castilla y León;Desventajas: Peor organización y coordinación del teletrabajo;32,1
Personas que han teletrabajado;Castilla y León;Desventajas: Sobrecarga laboral;32,8
Personas que han teletrabajado;Castilla y León;Desventajas: No desconexión laboral;70
Personas que han teletrabajado;Castilla y León;Desventajas: Falta de contacto social con compa±eros;87,6
Personas que han teletrabajado;Castilla y León;Desventajas: Falta de recursos técnicos;36
Personas que han teletrabajado;Castilla y León;Desventajas: Incomodidad de trabajar desde el hogar;36,1
Personas que han teletrabajado;Castilla-La Mancha;Total;67.718
Personas que han teletrabajado;Castilla-La Mancha;Ventajas: Gestión propia del tiempo de trabajo;81,2
Personas que han teletrabajado;Castilla-La Mancha;Ventajas: Aprovechamiento/ahorro de tiempo;91,9
Personas que han teletrabajado;Castilla-La Mancha;Ventajas: Conciliación con vida familiar/personal;74,7
Personas que han teletrabajado;Castilla-La Mancha;Ventajas: Ahorro de dinero;76
Personas que han teletrabajado;Castilla-La Mancha;Ventajas: Evitar desplazamientos;92,4
Personas que han teletrabajado;Castilla-La Mancha;Ventajas: Comodidad de trabajar en el hogar;93,4
Personas que han teletrabajado;Castilla-La Mancha;Desventajas: Peor organización y coordinación del teletrabajo;19
Personas que han teletrabajado;Castilla-La Mancha;Desventajas: Sobrecarga laboral;59,9
Personas que han teletrabajado;Castilla-La Mancha;Desventajas: No desconexión laboral;60,6
Personas que han teletrabajado;Castilla-La Mancha;Desventajas: Falta de contacto social con compa±eros;87,9
Personas que han teletrabajado;Castilla-La Mancha;Desventajas: Falta de recursos técnicos;25,6
Personas que han teletrabajado;Castilla-La Mancha;Desventajas: Incomodidad de trabajar desde el hogar;7,4
Personas que han teletrabajado;Cataluña;Total;761.035
Personas que han teletrabajado;Cataluña;Ventajas: Gestión propia del tiempo de trabajo;80,1
Personas que han teletrabajado;Cataluña;Ventajas: Aprovechamiento/ahorro de tiempo;81,8
Personas que han teletrabajado;Cataluña;Ventajas: Conciliación con vida familiar/personal;83,3
Personas que han teletrabajado;Cataluña;Ventajas: Ahorro de dinero;70,6
Personas que han teletrabajado;Cataluña;Ventajas: Evitar desplazamientos;94,4
Personas que han teletrabajado;Cataluña;Ventajas: Comodidad de trabajar en el hogar;73,4
Personas que han teletrabajado;Cataluña;Desventajas: Peor organización y coordinación del teletrabajo;29,5
Personas que han teletrabajado;Cataluña;Desventajas: Sobrecarga laboral;46,7
Personas que han teletrabajado;Cataluña;Desventajas: No desconexión laboral;58,3
Personas que han teletrabajado;Cataluña;Desventajas: Falta de contacto social con compa±eros;82,6
Personas que han teletrabajado;Cataluña;Desventajas: Falta de recursos técnicos;23,4
Personas que han teletrabajado;Cataluña;Desventajas: Incomodidad de trabajar desde el hogar;25
Personas que han teletrabajado;Comunitat Valenciana;Total;289.561
Personas que han teletrabajado;Comunitat Valenciana;Ventajas: Gestión propia del tiempo de trabajo;93,4
Personas que han teletrabajado;Comunitat Valenciana;Ventajas: Aprovechamiento/ahorro de tiempo;78,4
Personas que han teletrabajado;Comunitat Valenciana;Ventajas: Conciliación con vida familiar/personal;91,7
Personas que han teletrabajado;Comunitat Valenciana;Ventajas: Ahorro de dinero;67,3
Personas que han teletrabajado;Comunitat Valenciana;Ventajas: Evitar desplazamientos;99
Personas que han teletrabajado;Comunitat Valenciana;Ventajas: Comodidad de trabajar en el hogar;78,5
Personas que han teletrabajado;Comunitat Valenciana;Desventajas: Peor organización y coordinación del teletrabajo;25,6
Personas que han teletrabajado;Comunitat Valenciana;Desventajas: Sobrecarga laboral;51,1
Personas que han teletrabajado;Comunitat Valenciana;Desventajas: No desconexión laboral;73,6
Personas que han teletrabajado;Comunitat Valenciana;Desventajas: Falta de contacto social con compa±eros;77,7
Personas que han teletrabajado;Comunitat Valenciana;Desventajas: Falta de recursos técnicos;31,6
Personas que han teletrabajado;Comunitat Valenciana;Desventajas: Incomodidad de trabajar desde el hogar;27,4
Personas que han teletrabajado;Extremadura;Total;43.888
Personas que han teletrabajado;Extremadura;Ventajas: Gestión propia del tiempo de trabajo;95,2
Personas que han teletrabajado;Extremadura;Ventajas: Aprovechamiento/ahorro de tiempo;90,2
Personas que han teletrabajado;Extremadura;Ventajas: Conciliación con vida familiar/personal;99
Personas que han teletrabajado;Extremadura;Ventajas: Ahorro de dinero;72,3
Personas que han teletrabajado;Extremadura;Ventajas: Evitar desplazamientos;95,8
Personas que han teletrabajado;Extremadura;Ventajas: Comodidad de trabajar en el hogar;89,1
Personas que han teletrabajado;Extremadura;Desventajas: Peor organización y coordinación del teletrabajo;55,2
Personas que han teletrabajado;Extremadura;Desventajas: Sobrecarga laboral;35,3
Personas que han teletrabajado;Extremadura;Desventajas: No desconexión laboral;68,4
Personas que han teletrabajado;Extremadura;Desventajas: Falta de contacto social con compa±eros;95,1
Personas que han teletrabajado;Extremadura;Desventajas: Falta de recursos técnicos;50,3
Personas que han teletrabajado;Extremadura;Desventajas: Incomodidad de trabajar desde el hogar;9,6
Personas que han teletrabajado;Galicia;Total;107.575
Personas que han teletrabajado;Galicia;Ventajas: Gestión propia del tiempo de trabajo;91,1
Personas que han teletrabajado;Galicia;Ventajas: Aprovechamiento/ahorro de tiempo;78,8
Personas que han teletrabajado;Galicia;Ventajas: Conciliación con vida familiar/personal;84,3
Personas que han teletrabajado;Galicia;Ventajas: Ahorro de dinero;85,5
Personas que han teletrabajado;Galicia;Ventajas: Evitar desplazamientos;91,4
Personas que han teletrabajado;Galicia;Ventajas: Comodidad de trabajar en el hogar;73
Personas que han teletrabajado;Galicia;Desventajas: Peor organización y coordinación del teletrabajo;42,4
Personas que han teletrabajado;Galicia;Desventajas: Sobrecarga laboral;50
Personas que han teletrabajado;Galicia;Desventajas: No desconexión laboral;57,9
Personas que han teletrabajado;Galicia;Desventajas: Falta de contacto social con compa±eros;92,6
Personas que han teletrabajado;Galicia;Desventajas: Falta de recursos técnicos;35
Personas que han teletrabajado;Galicia;Desventajas: Incomodidad de trabajar desde el hogar;31,2
Personas que han teletrabajado;Madrid, Comunidad de;Total;1.000.646
Personas que han teletrabajado;Madrid, Comunidad de;Ventajas: Gestión propia del tiempo de trabajo;91,1
Personas que han teletrabajado;Madrid, Comunidad de;Ventajas: Aprovechamiento/ahorro de tiempo;93
Personas que han teletrabajado;Madrid, Comunidad de;Ventajas: Conciliación con vida familiar/personal;89,1
Personas que han teletrabajado;Madrid, Comunidad de;Ventajas: Ahorro de dinero;68,3
Personas que han teletrabajado;Madrid, Comunidad de;Ventajas: Evitar desplazamientos;99
Personas que han teletrabajado;Madrid, Comunidad de;Ventajas: Comodidad de trabajar en el hogar;79,2
Personas que han teletrabajado;Madrid, Comunidad de;Desventajas: Peor organización y coordinación del teletrabajo;28,2
Personas que han teletrabajado;Madrid, Comunidad de;Desventajas: Sobrecarga laboral;47,4
Personas que han teletrabajado;Madrid, Comunidad de;Desventajas: No desconexión laboral;57,6
Personas que han teletrabajado;Madrid, Comunidad de;Desventajas: Falta de contacto social con compa±eros;83,1
Personas que han teletrabajado;Madrid, Comunidad de;Desventajas: Falta de recursos técnicos;29,5
Personas que han teletrabajado;Madrid, Comunidad de;Desventajas: Incomodidad de trabajar desde el hogar;19,5
Personas que han teletrabajado;Murcia, Región de;Total;62.310
Personas que han teletrabajado;Murcia, Región de;Ventajas: Gestión propia del tiempo de trabajo;90,8
Personas que han teletrabajado;Murcia, Región de;Ventajas: Aprovechamiento/ahorro de tiempo;87,1
Personas que han teletrabajado;Murcia, Región de;Ventajas: Conciliación con vida familiar/personal;90,8
Personas que han teletrabajado;Murcia, Región de;Ventajas: Ahorro de dinero;66,8
Personas que han teletrabajado;Murcia, Región de;Ventajas: Evitar desplazamientos;93,6
Personas que han teletrabajado;Murcia, Región de;Ventajas: Comodidad de trabajar en el hogar;87,3
Personas que han teletrabajado;Murcia, Región de;Desventajas: Peor organización y coordinación del teletrabajo;29,5
Personas que han teletrabajado;Murcia, Región de;Desventajas: Sobrecarga laboral;42,1
Personas que han teletrabajado;Murcia, Región de;Desventajas: No desconexión laboral;51,2
Personas que han teletrabajado;Murcia, Región de;Desventajas: Falta de contacto social con compa±eros;69,9
Personas que han teletrabajado;Murcia, Región de;Desventajas: Falta de recursos técnicos;33
Personas que han teletrabajado;Murcia, Región de;Desventajas: Incomodidad de trabajar desde el hogar;22,5
Personas que han teletrabajado;Navarra, Comunidad Foral de;Total;29.552
Personas que han teletrabajado;Navarra, Comunidad Foral de;Ventajas: Gestión propia del tiempo de trabajo;88,2
Personas que han teletrabajado;Navarra, Comunidad Foral de;Ventajas: Aprovechamiento/ahorro de tiempo;75,7
Personas que han teletrabajado;Navarra, Comunidad Foral de;Ventajas: Conciliación con vida familiar/personal;81,8
Personas que han teletrabajado;Navarra, Comunidad Foral de;Ventajas: Ahorro de dinero;45,1
Personas que han teletrabajado;Navarra, Comunidad Foral de;Ventajas: Evitar desplazamientos;87,4
Personas que han teletrabajado;Navarra, Comunidad Foral de;Ventajas: Comodidad de trabajar en el hogar;72,1
Personas que han teletrabajado;Navarra, Comunidad Foral de;Desventajas: Peor organización y coordinación del teletrabajo;53,5
Personas que han teletrabajado;Navarra, Comunidad Foral de;Desventajas: Sobrecarga laboral;40,3
Personas que han teletrabajado;Navarra, Comunidad Foral de;Desventajas: No desconexión laboral;63,1
Personas que han teletrabajado;Navarra, Comunidad Foral de;Desventajas: Falta de contacto social con compa±eros;76,7
Personas que han teletrabajado;Navarra, Comunidad Foral de;Desventajas: Falta de recursos técnicos;41,3
Personas que han teletrabajado;Navarra, Comunidad Foral de;Desventajas: Incomodidad de trabajar desde el hogar;34
Personas que han teletrabajado;País Vasco;Total;115.069
Personas que han teletrabajado;País Vasco;Ventajas: Gestión propia del tiempo de trabajo;85,9
Personas que han teletrabajado;País Vasco;Ventajas: Aprovechamiento/ahorro de tiempo;83,7
Personas que han teletrabajado;País Vasco;Ventajas: Conciliación con vida familiar/personal;91,2
Personas que han teletrabajado;País Vasco;Ventajas: Ahorro de dinero;70
Personas que han teletrabajado;País Vasco;Ventajas: Evitar desplazamientos;91,6
Personas que han teletrabajado;País Vasco;Ventajas: Comodidad de trabajar en el hogar;69,5
Personas que han teletrabajado;País Vasco;Desventajas: Peor organización y coordinación del teletrabajo;30,6
Personas que han teletrabajado;País Vasco;Desventajas: Sobrecarga laboral;55,9
Personas que han teletrabajado;País Vasco;Desventajas: No desconexión laboral;68,6
Personas que han teletrabajado;País Vasco;Desventajas: Falta de contacto social con compa±eros;83,8
Personas que han teletrabajado;País Vasco;Desventajas: Falta de recursos técnicos;23,4
Personas que han teletrabajado;País Vasco;Desventajas: Incomodidad de trabajar desde el hogar;24,4
Personas que han teletrabajado;Rioja, La;Total;14.847
Personas que han teletrabajado;Rioja, La;Ventajas: Gestión propia del tiempo de trabajo;88,9
Personas que han teletrabajado;Rioja, La;Ventajas: Aprovechamiento/ahorro de tiempo;85,9
Personas que han teletrabajado;Rioja, La;Ventajas: Conciliación con vida familiar/personal;83,6
Personas que han teletrabajado;Rioja, La;Ventajas: Ahorro de dinero;56,1
Personas que han teletrabajado;Rioja, La;Ventajas: Evitar desplazamientos;90,5
Personas que han teletrabajado;Rioja, La;Ventajas: Comodidad de trabajar en el hogar;75,8
Personas que han teletrabajado;Rioja, La;Desventajas: Peor organización y coordinación del teletrabajo;29,5
Personas que han teletrabajado;Rioja, La;Desventajas: Sobrecarga laboral;25,9
Personas que han teletrabajado;Rioja, La;Desventajas: No desconexión laboral;55,9
Personas que han teletrabajado;Rioja, La;Desventajas: Falta de contacto social con compa±eros;85,9
Personas que han teletrabajado;Rioja, La;Desventajas: Falta de recursos técnicos;46,3
Personas que han teletrabajado;Rioja, La;Desventajas: Incomodidad de trabajar desde el hogar;24,4
Personas que han teletrabajado;Ceuta;Total;1.367
Personas que han teletrabajado;Ceuta;Ventajas: Gestión propia del tiempo de trabajo;100
Personas que han teletrabajado;Ceuta;Ventajas: Aprovechamiento/ahorro de tiempo;100
Personas que han teletrabajado;Ceuta;Ventajas: Conciliación con vida familiar/personal;100
Personas que han teletrabajado;Ceuta;Ventajas: Ahorro de dinero;53,3
Personas que han teletrabajado;Ceuta;Ventajas: Evitar desplazamientos;53,3
Personas que han teletrabajado;Ceuta;Ventajas: Comodidad de trabajar en el hogar;..
Personas que han teletrabajado;Ceuta;Desventajas: Peor organización y coordinación del teletrabajo;53,3
Personas que han teletrabajado;Ceuta;Desventajas: Sobrecarga laboral;100
Personas que han teletrabajado;Ceuta;Desventajas: No desconexión laboral;46,7
Personas que han teletrabajado;Ceuta;Desventajas: Falta de contacto social con compa±eros;100
Personas que han teletrabajado;Ceuta;Desventajas: Falta de recursos técnicos;53,3
Personas que han teletrabajado;Ceuta;Desventajas: Incomodidad de trabajar desde el hogar;..
Personas que han teletrabajado;Melilla;Total;2.090
Personas que han teletrabajado;Melilla;Ventajas: Gestión propia del tiempo de trabajo;100
Personas que han teletrabajado;Melilla;Ventajas: Aprovechamiento/ahorro de tiempo;85
Personas que han teletrabajado;Melilla;Ventajas: Conciliación con vida familiar/personal;43,5
Personas que han teletrabajado;Melilla;Ventajas: Ahorro de dinero;69,2
Personas que han teletrabajado;Melilla;Ventajas: Evitar desplazamientos;76,7
Personas que han teletrabajado;Melilla;Ventajas: Comodidad de trabajar en el hogar;100
Personas que han teletrabajado;Melilla;Desventajas: Peor organización y coordinación del teletrabajo;85
Personas que han teletrabajado;Melilla;Desventajas: Sobrecarga laboral;20,1
Personas que han teletrabajado;Melilla;Desventajas: No desconexión laboral;83,3
Personas que han teletrabajado;Melilla;Desventajas: Falta de contacto social con compa±eros;83,3
Personas que han teletrabajado;Melilla;Desventajas: Falta de recursos técnicos;27,7
Personas que han teletrabajado;Melilla;Desventajas: Incomodidad de trabajar desde el hogar;52,5
